Player,Team,Season,Age,Squad,Comp,Country,MP,Starts,Starts_pct,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG,xG+xAG,npxG+xAG,PrgP,PrgC,PrgR,Gls/90,Ast/90,G+A/90,xG/90,xAG/90,xG+xAG/90,xG_diff,xA_diff,Trend,NewLeague,SourceFile,Career_MP,Career_Starts,Career_Min,Career_90s,Career_Gls,Career_Ast,Career_G+A,Career_xG,Career_xAG,Career_xG+xAG,Career_npxG,Career_npxG+xAG,Career_Gls/90,Career_Ast/90,Career_G+A/90,Career_xG/90,Career_xAG/90,Career_xG+xAG/90
Peter Amoran,Parma,2025-2026,21,Parma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Parma\Peter_Amoran_DF.csv,13.0,9.0,865.0,9.6,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0
Tjaš Begić,Parma,2025-2026,22,Parma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,Yes,serie_a_standard_stats\Parma\Tjaš_Begić_MF.csv,30.0,13.0,1318.0,14.6,1.0,1.0,2.0,2.0,0.8,,2.0,2.9,0.07,0.07,0.14,0.14,0.06,0.2
Louis Buffon,Pisa,2025-2026,17,Pisa,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Pisa\Louis_Buffon_FW.csv,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malthe Hojholt,Pisa,2025-2026,24,Pisa,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,Yes,serie_a_standard_stats\Pisa\Malthe_Hojholt_MF.csv,104.0,70.0,6413.0,71.3,1.0,1.0,2.0,0.4,1.1,,0.4,1.4,0.01,0.01,0.03,0.03,0.08,0.1
Mehdi Léris,Pisa,2025-2026,27,Pisa,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,Yes,serie_a_standard_stats\Pisa\Mehdi_Léris_DF.csv,160.0,103.0,9148.0,101.6,6.0,10.0,16.0,14.2,10.0,,14.1,24.1,0.06,0.1,0.16,0.14,0.1,0.24
Nícolas Andrade,Pisa,2025-2026,37,Pisa,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Pisa\Nícolas_Andrade_GK.csv,274.0,273.0,24499.0,272.2,0.0,0.0,0.0,0.0,0.2,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,Pisa,2025-2026,29,Pisa,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Pisa\Simone_Scuffet_GK.csv,196.0,193.0,17506.0,194.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Ghilardi,Roma,2025-2026,22,Roma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,No,serie_a_standard_stats\Roma\Daniele_Ghilardi_DF.csv,61.0,56.0,5217.0,58.0,2.0,0.0,2.0,2.3,1.0,,2.3,3.2,0.03,0.0,0.03,0.04,0.02,0.06
Devis Vásquez,Roma,2025-2026,27,Roma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Roma\Devis_Vásquez_GK.csv,79.0,78.0,7037.0,78.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niccolò Pisilli,Roma,2025-2026,20,Roma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,No,serie_a_standard_stats\Roma\Niccolò_Pisilli_MF.csv,30.0,11.0,1238.0,13.8,2.0,1.0,3.0,2.7,0.7,,2.7,3.4,0.15,0.07,0.22,0.2,0.05,0.24
Tommaso Baldanzi,Roma,2025-2026,22,Roma,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,No,serie_a_standard_stats\Roma\Tommaso_Baldanzi_MF.csv,85.0,43.0,3885.0,43.2,7.0,1.0,8.0,6.7,4.5,,6.7,11.2,0.16,0.02,0.19,0.16,0.1,0.26
Agustín Álvarez,Sassuolo,2025-2026,24,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,Yes,serie_a_standard_stats\Sassuolo\Agustín_Álvarez_FW.csv,135.0,87.0,7865.0,87.4,27.0,3.0,30.0,3.2,1.0,,3.2,4.2,0.31,0.05,0.43,0.26,0.08,0.34
Arijanet Muric,Sassuolo,2025-2026,26,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Sassuolo\Arijanet_Muric_GK.csv,121.0,121.0,10802.0,120.0,0.0,0.0,0.0,0.0,0.4,,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Volpato,Sassuolo,2025-2026,21,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,Yes,serie_a_standard_stats\Sassuolo\Cristian_Volpato_MF.csv,50.0,16.0,1616.0,18.0,7.0,7.0,14.0,2.6,4.5,,2.6,7.1,0.39,0.39,0.78,0.14,0.24,0.38
Edoardo Pieragnolo,Sassuolo,2025-2026,22,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,Yes,serie_a_standard_stats\Sassuolo\Edoardo_Pieragnolo_DF.csv,53.0,46.0,3790.0,42.1,4.0,4.0,8.0,4.0,3.9,,4.0,7.9,0.09,0.09,0.19,0.09,0.09,0.19
Filippo Missori,Sassuolo,2025-2026,21,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Sassuolo\Filippo_Missori_DF.csv,15.0,5.0,604.0,6.7,0.0,0.0,0.0,0.3,0.0,,0.3,0.3,0.0,0.0,0.0,0.04,0.01,0.05
Giacomo Satalino,Sassuolo,2025-2026,26,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Sassuolo\Giacomo_Satalino_GK.csv,20.0,18.0,1704.0,18.9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Idzes,Sassuolo,2025-2026,25,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,No,serie_a_standard_stats\Sassuolo\Jay_Idzes_DF.csv,197.0,171.0,15419.0,171.3,6.0,5.0,11.0,5.8,1.0,,5.8,6.8,0.04,0.03,0.06,0.05,0.01,0.06
Samuele Mulattieri,Sassuolo,2025-2026,24,Sassuolo,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,Yes,serie_a_standard_stats\Sassuolo\Samuele_Mulattieri_FW.csv,146.0,85.0,7927.0,88.1,45.0,9.0,54.0,21.4,5.0,,21.4,26.4,0.51,0.1,0.61,0.35,0.08,0.43
Alberto Paleari,Torino,2025-2026,32,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Alberto_Paleari_GK.csv,159.0,155.0,13927.0,154.7,0.0,0.0,0.0,0.1,0.2,,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Ali Dembélé,Torino,2025-2026,21,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Ali_Dembélé_DF.csv,29.0,4.0,559.0,6.2,2.0,0.0,2.0,0.7,0.2,,0.7,0.9,0.32,0.0,0.32,0.11,0.03,0.14
Duván Zapata,Torino,2025-2026,34,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Duván_Zapata_FW.csv,326.0,253.0,21957.0,244.0,124.0,43.0,167.0,91.4,33.3,,85.9,119.2,0.51,0.18,0.68,0.51,0.19,0.7
Eybi Nije,Torino,2025-2026,20,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Eybi_Nije_FW.csv,16.0,0.0,394.0,4.4,1.0,0.0,1.0,1.5,0.4,,1.5,1.9,0.23,0.0,0.23,0.34,0.1,0.44
Guillermo Maripán,Torino,2025-2026,31,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Guillermo_Maripán_DF.csv,243.0,224.0,19849.0,220.5,17.0,4.0,21.0,10.7,3.6,,10.7,14.3,0.08,0.02,0.1,0.06,0.02,0.08
Ivan Ilić,Torino,2025-2026,24,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,No,serie_a_standard_stats\Torino\Ivan_Ilić_MF.csv,173.0,139.0,12205.0,135.6,15.0,8.0,23.0,7.7,10.9,,7.7,18.6,0.11,0.06,0.17,0.07,0.1,0.18
Mihai Popa,Torino,2025-2026,24,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,Yes,serie_a_standard_stats\Torino\Mihai_Popa_GK.csv,96.0,94.0,8569.0,95.2,0.0,1.0,1.0,,,,,,0.0,0.01,0.01,,,0.0
Sergiu Perciun,Torino,2025-2026,19,Torino,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Torino\Sergiu_Perciun_MF.csv,5.0,0.0,152.0,1.7,0.0,0.0,0.0,0.0,0.1,,0.0,0.2,0.0,0.0,0.0,0.03,0.08,0.1
Christian Kabasele,Udinese,2025-2026,34,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↘,No,serie_a_standard_stats\Udinese\Christian_Kabasele_DF.csv,274.0,229.0,20671.0,229.7,19.0,5.0,24.0,8.4,3.7,,8.4,12.1,0.08,0.02,0.1,0.06,0.03,0.08
Daniele Padelli,Udinese,2025-2026,39,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Udinese\Daniele_Padelli_GK.csv,144.0,139.0,12734.0,141.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jurgen Ekkelenkamp,Udinese,2025-2026,25,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,No,serie_a_standard_stats\Udinese\Jurgen_Ekkelenkamp_MF.csv,186.0,127.0,11375.0,126.4,38.0,16.0,54.0,24.7,10.6,,24.7,35.3,0.3,0.13,0.43,0.29,0.13,0.42
Lennon Miller,Udinese,2025-2026,18,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,↗,Yes,serie_a_standard_stats\Udinese\Lennon_Miller_MF.csv,61.0,53.0,4666.0,51.8,2.0,10.0,12.0,,,,,,0.04,0.19,0.23,,,0.0
Rui Modesto,Udinese,2025-2026,25,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Udinese\Rui_Modesto_MF.csv,119.0,92.0,8506.0,94.5,21.0,8.0,29.0,0.5,0.8,,0.5,1.3,0.22,0.08,0.31,0.07,0.12,0.19
Saba Goglichidze,Udinese,2025-2026,21,Udinese,1. Serie A,it ITA,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,→,No,serie_a_standard_stats\Udinese\Saba_Goglichidze_DF.csv,33.0,29.0,2539.0,28.2,0.0,1.0,1.0,0.3,0.3,,0.3,0.6,0.0,0.04,0.04,0.01,0.01,0.02
